time,ID,USD,USD,time,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred
forgetmenot,1532879,9,9,forgetmenot,False,False,,True,timbers,141,,2019-05-10T06:59:59Z,beard,amur,mekong,swarley,cinderella,royalpurple,icy,forgetmenot,4,True,False,2,False,0,False
sapphire,1460942,17,17,sapphire,False,False,,False,,,,,confuzzled,chantilly,wonky,ganado,hintomint,coffee,sully,sapphire,8,True,False,0,False,0,False
mintgreen,1549546,5,5,mintgreen,False,False,,False,,,,,beard,ragdoll,asif,thunderstruck,salty,orangesoda,wolfgrey,cobalt,4,True,False,0,False,0,False
dahlia,1513584,4,4,dahlia,False,False,,False,,,,,beard,wonky,savannah,tiger,salty,ducky,cottoncandy,lemonade,2,True,False,1,False,0,False
sapphire,1132878,2,2,sapphire,False,False,,False,,,,,sphynx,soserious,slyboots,rascal,bananacream,turtleback,patrickstarfish,sapphire,1,True,False,1,False,0,False
olive,1502777,2,2,olive,False,False,,False,,,,,olive,confuzzled,ragdoll,chronic,ganado,hanauma,bananacream,padparadscha,1,True,False,0,False,0,False
sapphire,1355806,2,2,sapphire,False,False,,False,,,,,thicccbrowz,totesbasic,happygokitty,koladiviya,cottoncandy,coffee,granitegrey,sapphire,1,True,False,1,False,0,False
forgetmenot,1540985,4,4,forgetmenot,False,False,,False,,,,,cymric,tiger,wiley,wuvme,onyx,wolfgrey,icy,forgetmenot,2,True,False,0,False,0,False
dahlia,1116582,3,3,dahlia,False,False,,False,,,,,confuzzled,thicccbrowz,scorpius,koladiviya,cinderella,safetyvest,morningglory,dahlia,1,True,False,1,False,0,False
thundergrey,1313291,6,6,thundergrey,False,False,,True,reindeer,663,,2019-01-08T08:00:00Z,confuzzled,ragdoll,elk,swarley,rorschach,nachocheez,lilac,kalahari,3,True,False,0,False,0,False
dahlia,1087940,3,3,dahlia,False,False,,False,,,,,thicccbrowz,totesbasic,majestic,bobtail,greymatter,royalpurple,frosting,dahlia,7,True,False,0,False,0,False
olive,1527872,8,8,olive,True,False,Furbeard,False,,,316,,,,,,,,,,4,True,False,0,False,0,False
bubblegum,1310991,9,9,bubblegum,False,False,,True,reindeer,637,,2019-01-08T08:00:00Z,confuzzled,spock,elk,chantilly,tendertears,bananacream,swampgreen,kalahari,4,True,False,0,False,0,False
kaleidoscope,1531713,11,11,kaleidoscope,True,False,Page,False,,,3680,,,,,,,,,,5,True,False,1,False,0,False
cyan,1530495,8,8,cyan,False,False,,True,wrecked,192,,2019-05-10T06:59:59Z,totesbasic,siberian,caffeine,impish,greymatter,swampgreen,kalahari,cyan,4,True,False,1,False,0,False
olive,1492936,5,5,olive,False,False,,False,,,,,olive,slyboots,moue,tiger,bobtail,cinderella,lilac,cashewmilk,2,True,False,0,False,0,False
gold,667771,11,11,gold,False,False,,False,,,,,cymric,gold,calicool,aquamarine,apricot,emeraldgreen,wiley,wuvme,5,True,False,0,False,0,False
kaleidoscope,1471629,11,11,kaleidoscope,True,False,Page,False,,,2834,,,,,,,,,,5,True,False,1,False,0,False
kaleidoscope,1502575,11,11,kaleidoscope,True,False,Page,False,,,3180,,,,,,,,,,5,True,False,1,False,0,False
chestnut,1308526,4,4,chestnut,False,False,,True,reindeer,621,,2019-01-08T08:00:00Z,selkirk,pouty,serpent,elk,tiger,brownies,egyptiankohl,sandalwood,2,True,False,0,False,0,False
thundergrey,1096523,1,1,thundergrey,False,False,,False,,,,,thicccbrowz,pixiebob,rascal,flapflap,fangtastic,brownies,egyptiankohl,icy,0,True,False,1,False,0,False
eclipse,1515264,4,4,eclipse,False,False,,False,,,,,soserious,ganado,caffeine,koladiviya,hyacinth,unicorn,juju,coffee,2,True,False,1,False,0,False
sapphire,1510457,1,1,sapphire,False,False,,False,,,,,happygokitty,birman,asif,mittens,meowgarine,rosequartz,kalahari,sapphire,0,True,False,2,False,0,False
coralsunrise,1515725,6,6,coralsunrise,False,False,,False,,,,,thicccbrowz,calicool,soserious,unicorn,kurilian,mauveover,egyptiankohl,azaleablush,3,True,False,1,False,0,False
strawberry,257748,5,5,strawberry,True,False,Dracula,False,,,288,,,,,,,,,,13,True,False,0,False,0,False
thundergrey,466816,3,3,thundergrey,False,False,,False,,,,,laperm,googly,totesbasic,gerbil,thundergrey,verdigris,barkbrown,sandalwood,1,True,False,6,False,0,False
sapphire,1284032,2,2,sapphire,False,False,,False,,,,,soserious,wiley,rascal,koladiviya,ducky,cinderella,barkbrown,kalahari,1,True,False,0,False,0,False
sapphire,1505128,4,4,sapphire,False,False,,False,,,,,totesbasic,beard,wiley,koladiviya,cottoncandy,swampgreen,purplehaze,sapphire,2,True,False,0,False,0,False
sizzurp,1507569,1,1,sizzurp,False,False,,False,,,,,crazy,beard,ragdoll,rorschach,cottoncandy,barkbrown,kittencream,sizzurp,0,True,False,3,False,0,False
